Id,ApiGameId,SystemId,Title,Genre,CoverURL,Upc,loose-price,cib-price,GameConsoleId,release-date
274,12234,NES,Flying Dragon,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Flying_Dragon_The_Secret_Scroll_Cover.jpg/250px-Flying_Dragon_The_Secret_Scroll_Cover.jpg,,$5.28,$18.34,1,1989-08-01
275,12235,NES,Flying Warriors,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/6/61/FW_NES.PNG,,$15.71,$36.39,1,1991-02-01
276,14550,NES,Formula One Built To Win,Racing,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Formula_One_Built_to_Win_Cover.jpg/220px-Formula_One_Built_to_Win_Cover.jpg,,$16.95,$53.00,1,1990-11-01
277,12236,NES,Frankenstein the Monster Returns,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Frankenstein_The_Monster_Returns_Cover.jpg/220px-Frankenstein_The_Monster_Returns_Cover.jpg,,$59.23,$109.02,1,1991-07-01
278,12237,NES,Freedom Force,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/b/b2/Freedom_Force_Video_Game_Boxcover.jpg/250px-Freedom_Force_Video_Game_Boxcover.jpg,,$10.80,$25.00,1,1988-04-01
279,12238,NES,Friday the 13th,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/b/be/Friday_the_13th_NES.png,,$9.99,$46.07,1,1989-02-01
280,12239,NES,Fun House,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Fun_House_Cover.jpg/220px-Fun_House_Cover.jpg,,$6.05,$24.06,1,1991-01-01
281,12240,NES,G.I. Joe: A Real American Hero,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/G.I._Joe_NES_Cover.jpg/220px-G.I._Joe_NES_Cover.jpg,,$45.64,$143.82,1,1991-01-01
282,9034,NES,GI Joe The Atlantis Factor,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/G.I._Joe_The_Atlantis_Factor_Cover.jpg/220px-G.I._Joe_The_Atlantis_Factor_Cover.jpg,,$27.78,$71.50,1,1992-03-01
283,32330,NES,Galactic Crusader,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/3/3f/Galactic_Crusader_cover.jpg,,$36.16,$65.00,1,1990-01-01
284,11991,NES,Galaga: Demons of Death,Other,https://i.pinimg.com/originals/c3/c8/60/c3c860ab71820d0c4084be8a5e8a87c7.jpg,,$11.79,$27.95,1,1988-09-01
285,12242,NES,Galaxy 5000,Action & Adventure,https://www.mobygames.com/images/covers/l/95012-galaxy-5000-nes-front-cover.jpg,,$19.99,$49.99,1,1991-02-01
286,52012,NES,Galf,Sports,https://limitedgamenews.com/wp-content/uploads/2018/09/galf-limitedgamenews.com-nintendo-nes-cover-label.jpg,,$17.36,$46.87,1,2018-08-01
287,52013,NES,Galf [White],Sports,https://cdn.shopify.com/s/files/1/0912/7444/products/GALF-NES-White.png,,$124.99,$150.00,1,2018-08-01
288,13192,NES,Game Genie,Accessories,https://r.mprd.se/fup/up/55576-Game_Genie_(USA)_(Unl)-1496104634.jpg,,$15.00,$22.83,1,
289,37040,NES,Game Genie Top Loader Adaptor,Accessories,http://atariage.com/forums/uploads/post-7533-1169575068.jpg,,$219.17,$397.37,1,1994-01-01
290,9012,NES,Gargoyle's Quest II The Demon Darkness,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Gargoylesquest2.jpg/220px-Gargoylesquest2.jpg,,$71.50,$150.71,1,1994-12-01
291,12243,NES,Gauntlet,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Gauntlet-NES-1989.jpg/220px-Gauntlet-NES-1989.jpg,,$8.00,$17.49,1,1987-01-01
292,9013,NES,Gauntlet II,Action & Adventure,https://www.mobygames.com/images/covers/l/16037-gauntlet-ii-nes-front-cover.jpg,,$7.96,$22.86,1,1990-09-01
293,39511,NES,Gauntlet [Gray Cart],Action & Adventure,https://i.ebayimg.com/images/g/FiYAAOSwFZtbQUmb/s-l300.jpg,,$9.79,$19.99,1,1987-01-01
294,9018,NES,Gemfire,Strategy,https://www.mobygames.com/images/covers/l/54369-gemfire-nes-front-cover.jpg,,$71.69,$130.23,1,1992-03-01
295,12244,NES,Genghis Khan,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Genghis_Khan_Cover.jpg/220px-Genghis_Khan_Cover.jpg,,$12.01,$29.97,1,1990-01-01
296,9025,NES,George Foreman's KO Boxing,Sports,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/George_Foreman%27s_KO_Boxing_Cover.jpg/220px-George_Foreman%27s_KO_Boxing_Cover.jpg,,$5.75,$19.22,1,1992-12-01
297,9029,NES,Ghost Lion,RPG,https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Ghost_Lion_Coverart.png/220px-Ghost_Lion_Coverart.png,,$59.99,$129.99,1,1992-10-01
